epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8493,0.30499,1.95907,0.09286,0.98011,0.98564,0.98708,0.8344,0.20829,0.28441,0.08084,0.000659091,0.000659091,0.000659091
2,127.222,0.22663,0.30518,0.06352,0.9884,0.98667,0.98134,0.88591,0.14481,0.59337,0.05531,0.00128201,0.00128201,0.00128201
3,187.462,0.24859,0.31556,0.07097,0.9494,0.98,0.98848,0.86661,0.1628,0.36465,0.06202,0.00186092,0.00186092,0.00186092
4,246.219,0.22728,0.29844,0.06601,0.99329,0.98619,0.98798,0.85081,0.17629,0.28467,0.05828,0.001802,0.001802,0.001802
5,305.124,0.21776,0.32438,0.06058,0.98673,0.99173,0.99365,0.88769,0.13726,0.31764,0.04933,0.001736,0.001736,0.001736
6,364.624,0.19239,0.2955,0.05429,0.99916,1,0.995,0.9249,0.11423,0.19918,0.04242,0.00167,0.00167,0.00167
7,423.822,0.18146,0.27966,0.04902,0.97942,0.97333,0.96514,0.88533,0.13029,0.26307,0.04993,0.001604,0.001604,0.001604
8,482.62,0.19354,0.2784,0.05108,0.99258,0.99333,0.98967,0.91002,0.11902,0.20725,0.04506,0.001538,0.001538,0.001538
9,542.198,0.17438,0.26376,0.04751,0.95938,1,0.96708,0.91261,0.10556,0.23011,0.0378,0.001472,0.001472,0.001472
10,601.083,0.1343,0.24522,0.03519,0.99291,1,0.99341,0.95324,0.08996,0.17503,0.032,0.001406,0.001406,0.001406
11,660.899,0.14031,0.22898,0.04024,0.98496,1,0.9948,0.94421,0.10944,0.19189,0.03749,0.00134,0.00134,0.00134
12,720.532,0.15168,0.23905,0.04425,0.99946,1,0.995,0.91485,0.1181,0.20224,0.04569,0.001274,0.001274,0.001274
13,779.754,0.14465,0.22352,0.04039,0.99946,1,0.995,0.95498,0.09071,0.16999,0.03176,0.001208,0.001208,0.001208
14,839.667,0.12704,0.22208,0.03358,0.99723,1,0.995,0.94757,0.09829,0.17796,0.03558,0.001142,0.001142,0.001142
15,899.021,0.12689,0.20898,0.03371,0.9836,1,0.99187,0.96165,0.08104,0.17977,0.02852,0.001076,0.001076,0.001076
16,958.184,0.1286,0.207,0.03425,0.99804,1,0.995,0.94337,0.09815,0.18652,0.03775,0.00101,0.00101,0.00101
17,1019.59,0.11855,0.20283,0.03197,0.99284,1,0.98877,0.95724,0.0847,0.16807,0.02964,0.000944,0.000944,0.000944
18,1079.2,0.11517,0.19854,0.02923,0.99292,1,0.99447,0.95609,0.08608,0.16814,0.03113,0.000878,0.000878,0.000878
19,1139.22,0.11784,0.19878,0.03262,0.96742,1,0.9839,0.94713,0.08884,0.18465,0.03302,0.000812,0.000812,0.000812
20,1199.69,0.10807,0.195,0.02896,0.9994,1,0.995,0.95427,0.09046,0.16829,0.03123,0.000746,0.000746,0.000746
