epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2917,0.84396,1.06377,0.99367,1,0.95824,0.977,0.79013,0.68149,0.73417,0.92119,0.000659091,0.000659091,0.000659091
2,60.0512,0.75983,0.51238,0.94598,0.80407,0.72667,0.83403,0.65011,0.89772,0.87256,1.02144,0.00128201,0.00128201,0.00128201
3,88.5785,0.80356,0.56514,0.97986,0.08746,0.5,0.05874,0.04651,0.94649,5.21573,1.04518,0.00186092,0.00186092,0.00186092
4,116.921,0.76642,0.49828,0.95794,0.62471,0.04453,0.04645,0.03567,4.79842,4.10892,8.19648,0.001802,0.001802,0.001802
5,145.339,0.64846,0.44755,0.92851,0.99333,0.99306,0.99493,0.87527,0.61629,0.36444,0.87006,0.001736,0.001736,0.001736
6,173.894,0.63089,0.4076,0.92236,0.99606,1,0.995,0.87131,0.59743,0.33753,0.8619,0.00167,0.00167,0.00167
7,202.221,0.62596,0.40466,0.92262,0.98551,1,0.99487,0.90297,0.49904,0.31066,0.83188,0.001604,0.001604,0.001604
8,231.377,0.5765,0.38568,0.90023,1,0.99329,0.995,0.89239,0.48216,0.44895,0.84033,0.001538,0.001538,0.001538
9,259.412,0.53992,0.37446,0.89324,0.99615,0.99333,0.995,0.87302,0.56938,0.32816,0.85109,0.001472,0.001472,0.001472
10,287.738,0.50943,0.35384,0.88216,0.99331,1,0.995,0.91899,0.47074,0.27362,0.82511,0.001406,0.001406,0.001406
11,316.178,0.49786,0.35798,0.88889,1,0.99333,0.995,0.9124,0.47669,0.3028,0.8231,0.00134,0.00134,0.00134
12,344.59,0.47898,0.32449,0.87662,1,0.99734,0.995,0.93639,0.3772,0.26565,0.80403,0.001274,0.001274,0.001274
13,373.064,0.47291,0.31664,0.87359,0.99958,1,0.995,0.92908,0.39501,0.24855,0.80054,0.001208,0.001208,0.001208
14,401.31,0.47047,0.31489,0.86247,0.99876,1,0.995,0.94747,0.39614,0.252,0.804,0.001142,0.001142,0.001142
15,429.795,0.46335,0.31417,0.87159,0.99954,1,0.995,0.90489,0.46227,0.24783,0.81146,0.001076,0.001076,0.001076
16,458.808,0.46184,0.30744,0.86516,0.99287,1,0.995,0.94445,0.38018,0.24013,0.79737,0.00101,0.00101,0.00101
17,486.956,0.43192,0.29124,0.87035,1,0.99928,0.995,0.96353,0.354,0.23882,0.78945,0.000944,0.000944,0.000944
18,515.433,0.42466,0.29178,0.85861,0.99967,1,0.995,0.95357,0.34308,0.22599,0.79304,0.000878,0.000878,0.000878
19,543.771,0.40099,0.28256,0.85451,0.99951,1,0.995,0.95038,0.34487,0.22358,0.79729,0.000812,0.000812,0.000812
20,571.849,0.41263,0.27592,0.85421,0.99944,1,0.995,0.94734,0.34841,0.21478,0.79726,0.000746,0.000746,0.000746
21,600.366,0.34102,0.23214,0.80004,1,0.99977,0.995,0.96331,0.35183,0.21286,0.79177,0.00068,0.00068,0.00068
22,627.94,0.32777,0.22352,0.81674,1,0.99965,0.995,0.97043,0.32415,0.21491,0.7896,0.000614,0.000614,0.000614
23,655.685,0.30879,0.217,0.79882,0.99927,1,0.995,0.9641,0.29913,0.1941,0.7862,0.000548,0.000548,0.000548
24,684.235,0.30928,0.21653,0.79867,0.9994,1,0.995,0.95672,0.32502,0.2034,0.78819,0.000482,0.000482,0.000482
25,712.059,0.29485,0.20004,0.80435,0.99948,1,0.995,0.96824,0.30732,0.1852,0.78457,0.000416,0.000416,0.000416
26,740.583,0.30077,0.20599,0.80578,0.99808,1,0.995,0.95892,0.33021,0.19916,0.78976,0.00035,0.00035,0.00035
27,768.094,0.28274,0.20172,0.79824,0.99925,1,0.995,0.97319,0.29464,0.17467,0.78563,0.000284,0.000284,0.000284
28,796.365,0.27612,0.1893,0.79878,0.99924,1,0.995,0.97373,0.2735,0.17035,0.78038,0.000218,0.000218,0.000218
29,824.877,0.26002,0.17668,0.78197,0.99943,1,0.995,0.97636,0.28532,0.1618,0.78031,0.000152,0.000152,0.000152
30,853.168,0.2591,0.17151,0.79194,0.99923,1,0.995,0.97599,0.28385,0.159,0.78092,8.6e-05,8.6e-05,8.6e-05
